Model,MAE,MSE,RMSE,R2
XGBClassifier,0.03409090909090909,0.5896840448301723,0.7679088779472291,0.9907300703052289
RandomForestClassifier,0.03409090909090909,0.5896840448301723,0.7679088779472291,0.9907300703052289
